id,date_start,date_end,latitude,longitude,type_of_violence,best
557169,2024-12-06,2024-12-06,49.5,36.5,1,2
557170,2024-12-06,2024-12-06,48.14,37.74,1,2
557172,2024-11-01,2024-11-30,49.0,32.0,1,474
557173,2024-11-01,2024-11-30,49.0,32.0,1,2137
557175,2024-12-06,2024-12-06,51.0,34.0,1,2
557178,2024-11-20,2024-11-20,48.999497,37.967459,1,5
557179,2024-11-20,2024-11-20,48.243849,37.61202,1,6
557181,2024-11-21,2024-11-21,47.702784,37.201793,1,5
557182,2024-11-21,2024-11-21,49.74063,37.91333,1,1
557183,2024-11-21,2024-11-21,48.221848,37.198509,1,1
557184,2024-11-21,2024-11-21,50.30106,36.39886,1,1
557185,2024-11-21,2024-11-21,47.874642,37.343497,1,1
557186,2024-11-21,2024-11-21,50.29078,36.94108,1,8
557187,2024-11-21,2024-11-21,48.20135,37.33929,1,5
557191,2024-11-22,2024-11-22,47.786361,36.698694,1,2
557192,2024-11-22,2024-11-22,47.839588,36.835952,1,1
557193,2024-11-22,2024-11-22,47.79425,36.99047,1,7
557194,2024-11-22,2024-11-22,49.09226,37.96081,1,11
557195,2024-11-22,2024-11-22,47.973271,37.3965,1,1
557197,2024-11-22,2024-11-22,47.88752,37.2997,1,7
557200,2024-11-23,2024-11-23,48.97,39.0,1,2
557203,2024-11-23,2024-11-23,48.74412,38.15272,1,6
557205,2024-11-23,2024-11-23,47.839588,36.835952,1,29
557216,2024-11-24,2024-11-24,48.59348,37.85724,1,11
557217,2024-11-24,2024-11-24,48.59348,37.85724,1,22
557218,2024-11-24,2024-11-24,49.227116,37.983578,1,1
557219,2024-11-24,2024-11-24,46.6406,32.61589,1,6
557220,2024-11-24,2024-11-24,48.221848,37.198509,1,5
557222,2024-11-25,2024-11-25,49.57447,37.91537,1,1
557225,2024-11-25,2024-11-25,49.00048,38.11234,1,34
557226,2024-11-25,2024-11-25,48.08706,37.22215,1,5
557227,2024-11-26,2024-11-26,48.397804,37.843767,1,2
557229,2024-11-25,2024-11-25,48.999497,37.967459,1,1
557230,2024-11-25,2024-11-25,48.57218,37.91742,1,7
557231,2024-11-25,2024-11-25,48.592436,37.99993,1,1
557234,2024-11-26,2024-11-26,47.60334,36.41622,1,5
557238,2024-11-26,2024-11-26,49.227116,37.983578,1,5
557239,2024-11-26,2024-11-26,49.00048,38.11234,1,5
557241,2024-11-26,2024-11-26,50.29078,36.94108,1,5
557242,2024-11-26,2024-11-26,47.717091,37.573761,1,1
557244,2024-11-26,2024-11-26,48.14542,37.18449,1,5
557245,2024-11-27,2024-11-27,48.92,39.02,1,1
557254,2024-11-27,2024-11-27,49.09226,37.96081,1,6
557255,2024-11-27,2024-11-27,48.13165,37.2068,1,1
557259,2024-11-28,2024-11-28,50.24047,36.79312,1,7
557264,2024-11-28,2024-11-28,48.22541,37.26245,1,5
557265,2024-11-28,2024-11-28,50.25661,36.42519,1,5
557267,2024-11-28,2024-11-28,48.14708,37.30032,1,1
557269,2024-11-28,2024-11-28,48.74412,38.15272,1,5
557274,2024-11-29,2024-11-29,47.83972,35.14057,1,2
557275,2024-11-29,2024-11-29,47.781297,36.63664,1,6
557276,2024-11-29,2024-11-29,47.79425,36.99047,1,5
557278,2024-11-30,2024-11-30,47.9234,37.18429,1,1
