event_date,event_type,sub_event_type,latitude,longitude,fatalities
2024-10-11,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-11,Battles,Armed clash,48.0355,37.3966,0
2024-10-05,Battles,Armed clash,47.9636,37.4383,0
2024-10-05,Battles,Armed clash,47.9935,37.4014,0
2024-10-05,Battles,Armed clash,47.9749,37.3933,0
2024-10-05,Battles,Armed clash,48.0546,37.2906,0
2024-10-05,Explosions/Remote violence,Shelling/artillery/missile attack,51.243,34.4629,0
2024-10-06,Battles,Armed clash,47.9636,37.4383,0
2024-10-06,Battles,Armed clash,47.9935,37.4014,0
2024-10-06,Battles,Armed clash,48.0546,37.2906,0
2024-10-06,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-07,Battles,Armed clash,47.9636,37.4383,0
2024-10-07,Battles,Armed clash,47.9935,37.4014,0
2024-10-07,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-17,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-17,Battles,Armed clash,47.9749,37.3933,9
2024-10-16,Battles,Armed clash,47.9636,37.4383,0
2024-10-16,Battles,Armed clash,48.0546,37.2906,0
2024-10-16,Battles,Armed clash,48.0355,37.3966,0
2024-10-15,Battles,Armed clash,47.9636,37.4383,0
2024-10-15,Battles,Armed clash,48.0355,37.3966,0
2024-10-15,Battles,Armed clash,48.0307,37.3728,0
2024-10-15,Battles,Armed clash,47.9749,37.3933,0
2024-10-12,Battles,Armed clash,47.9636,37.4383,0
2024-10-12,Battles,Armed clash,48.0307,37.3728,0
2024-10-12,Battles,Armed clash,47.9749,37.3933,0
2024-10-12,Battles,Armed clash,48.0546,37.2906,0
2024-10-12,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-13,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-13,Battles,Armed clash,47.9749,37.3933,0
2024-10-18,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-12,Explosions/Remote violence,Shelling/artillery/missile attack,48.0307,37.3728,1
2024-10-13,Battles,Armed clash,48.0355,37.3966,0
2024-10-14,Battles,Armed clash,47.9749,37.3933,0
2024-10-18,Battles,Armed clash,48.0307,37.3728,0
2024-10-17,Explosions/Remote violence,Shelling/artillery/missile attack,52.0186,31.8535,0
